"","Pvalue","Qvalue","Qvalue.perm","R2","coef_","High Mean","HV Mean","High nzMean","HV nzMean","log2(AbundRatio)","High preval","HV preval","PrevRatio"
"p__Firmicutes;s__Eubacterium_ramulus",0.481,0.65774358974359,0.664908498241832,0.016550694066752,0.00809399033941978,0.00141597755565535,0.00170380194009241,0.00424793266696604,0.00275229544168773,0.266959240232328,0.333333333333333,0.619047619047619,1.85714285714286
"p__Firmicutes;s__Eubacterium_rectale",0.095,0.242285714285714,0.255530530530531,0.0889821755081804,-0.0871329371170975,0.109086105046605,0.04064450831032,0.119003023687205,0.0449228776061431,-1.42433500802443,0.916666666666667,0.904761904761905,0.987012987012987
"p__Firmicutes;s__Eubacterium_siraeum",0.028,0.164888888888889,0.175528469646117,0.148937353334179,0.118915508443805,0.00345069763574894,0.0465821349549728,0.0207041858144936,0.0611390521284018,3.75481679316299,0.166666666666667,0.761904761904762,4.57142857142857
"p__Firmicutes;s__Eubacterium_sp_3_1_31",0.951,0.969288461538461,0.97004697004697,0.000124747107852474,0.000416426294375581,0.000483483235315961,0.00242924709648195,0.00145044970594788,0.00728774128944586,2.32897147397615,0.333333333333333,0.333333333333333,1
"p__Firmicutes;s__Eubacterium_ventriosum",0.549,0.727425,0.733916843672941,0.011691904968134,-0.00641993425028992,0.00158765347300108,0.00108427970244722,0.00381036833520259,0.00284623421892396,-0.550159094477235,0.416666666666667,0.380952380952381,0.914285714285714
"p__Firmicutes;s__Anaerostipes_hadrus",0.484,0.65774358974359,0.660894660894661,0.0172637330540028,0.00779489464483603,0.00105466676226367,0.00154662688861387,0.00180800016388057,0.00202994779130571,0.552337970244976,0.583333333333333,0.761904761904762,1.30612244897959
"p__Firmicutes;s__Blautia_hydrogenotrophica",0.086,0.236461538461538,0.243137874716822,0.0939133354038831,0.0068221054459236,0,0.000303044762534839,NA,0.00127278800264632,Inf,0,0.238095238095238,Inf
"p__Firmicutes;s__Ruminococcus_gnavus",0.005,0.0757142857142857,0.0371621621621622,0.252963594694777,-0.0400487459868426,0.017594301212166,0.00061110510098108,0.026391451818249,0.00183331530294324,-4.84754388243778,0.666666666666667,0.333333333333333,0.5
"p__Firmicutes;s__Ruminococcus_obeum",0.046,0.195692307692308,0.182008095051573,0.135405595746371,0.024604758784628,0.00440715383682211,0.00643697887586334,0.00587620511576281,0.00643697887586334,0.546536477944901,0.75,1,1.33333333333333
"p__Firmicutes;s__Ruminococcus_torques",0.921,0.947825242718447,0.940221775173231,0.000391972587245601,0.00264668037568893,0.0186475689517799,0.0128111635031165,0.0203428024928508,0.0134517216782724,-0.541586054888439,0.916666666666667,0.952380952380952,1.03896103896104
"p__Firmicutes;s__Coprococcus_catus",0.586,0.740781609195402,0.750524333857667,0.0101632578361289,0.00472081710507945,0.000875926694815185,0.000878367447665313,0.00262778008444556,0.0015371430334143,0.00401445141918845,0.333333333333333,0.571428571428571,1.71428571428571
"p__Firmicutes;s__Coprococcus_comes",0.698,0.804217391304348,0.809755992551692,0.00473132826638163,0.00498256561585255,0.00446972474737486,0.0027786066156133,0.00893944949474971,0.00364692118299246,-0.685824392924961,0.5,0.761904761904762,1.52380952380952
"p__Firmicutes;s__Dorea_formicigenerans",0.063,0.205575757575758,0.188705947326637,0.118571181973194,0.0189523418577251,0.00120145349564464,0.00222190315783776,0.00360436048693393,0.00259222035081072,0.887015130382875,0.333333333333333,0.857142857142857,2.57142857142857
"p__Firmicutes;s__Dorea_longicatena",0.338,0.539492537313433,0.537015276145711,0.0300925404158555,0.0167098283684905,0.00419025047247242,0.00561530342819967,0.00838050094494485,0.00693655129365842,0.422327498430572,0.5,0.80952380952381,1.61904761904762
"p__Firmicutes;s__Dorea_unclassified",0.412,0.615098591549296,0.600727488051432,0.024182121873792,-0.00687330786970981,0.000626475071667518,0.00167179464666113,0.00187942521500255,0.0117025625266279,1.41606863728156,0.333333333333333,0.142857142857143,0.428571428571429
"p__Firmicutes;s__Lachnospiraceae_bacterium_1_1_57FAA",0.153,0.3286,0.321044448704023,0.0710039516973633,-0.0198222762948683,0.00438813805637404,0.000345178086586477,0.0175525522254961,0.0014497479636632,-3.66819613151588,0.25,0.238095238095238,0.952380952380952
"p__Firmicutes;s__Lachnospiraceae_bacterium_1_4_56FAA",0.288,0.5088,0.500139483746041,0.0386968979327387,-0.00614407622445864,0.000647508042279779,5.11422760970146e-05,0.00388504825367867,0.000214797559607462,-3.66230983714871,0.166666666666667,0.238095238095238,1.42857142857143
"p__Firmicutes;s__Lachnospiraceae_bacterium_2_1_58FAA",0.608,0.740781609195402,0.758724241482862,0.0083515416326465,0.00232259353708906,7.26254188397443e-05,0.00036777483358483,0.000871505026076931,0.00257442383509381,2.34027627728639,0.0833333333333333,0.142857142857143,1.71428571428571
"p__Firmicutes;s__Lachnospiraceae_bacterium_3_1_46FAA",0.986,0.986,0.987034204015336,8.55141343381324e-06,0.000185997611711144,0.00263922994716511,0.00147040588127125,0.00527845989433022,0.00192990771916852,-0.84390261108652,0.5,0.761904761904762,1.52380952380952
"p__Firmicutes;s__Lachnospiraceae_bacterium_5_1_63FAA",0.677,0.797355555555556,0.78159681420551,0.00602072954668738,0.0045165523760277,0.0020965841016562,0.00200276820623196,0.00251590092198744,0.00233656290727062,-0.0660452450595626,0.833333333333333,0.857142857142857,1.02857142857143
"p__Firmicutes;s__Lachnospiraceae_bacterium_7_1_58FAA",0.045,0.195692307692308,0.182008095051573,0.131154453929608,0.0140350544442222,0.000684813751032741,0.00100859439517125,0.00117396643034184,0.00111476222624191,0.558562536872818,0.583333333333333,0.904761904761905,1.55102040816327
"p__Firmicutes;s__Lachnospiraceae_bacterium_8_1_57FAA",0.222,0.420214285714286,0.441831662170645,0.0479326693666748,0.0125109577971658,0.000813162056296191,0.00122337531050663,0.00487897233777715,0.00256908815206392,0.589252262854021,0.166666666666667,0.476190476190476,2.85714285714286
"p__Firmicutes;s__Lachnospiraceae_bacterium_9_1_43BFAA",0.024,0.164888888888889,0.175528469646117,0.153971603432891,-0.0101872549348928,0.000845660783384421,1.64276026572631e-05,0.00253698235015326,0.000344979655802525,-5.68588521396978,0.333333333333333,0.0476190476190476,0.142857142857143
"p__Firmicutes;s__Roseburia_hominis",0.051,0.200222222222222,0.188652938652939,0.120876968144719,0.0274606715190214,0.00137709995513252,0.00406069439067893,0.00275419991026503,0.00501615189436809,1.56009317405412,0.5,0.80952380952381,1.61904761904762
"p__Firmicutes;s__Roseburia_intestinalis",0.298,0.509809523809524,0.530705308483086,0.0352112495989101,-0.037819706970454,0.0342771729964432,0.0130966807928653,0.045702897328591,0.0183353531100115,-1.38804690516766,0.75,0.714285714285714,0.952380952380952
